id,name,category,lat,lng,source
osm-node-546560517,Gunung Kendang,Alam,-7.2452629,107.7085691,overpass
osm-node-1070155133,Pasir Leutik,Alam,-6.910556,107.872778,overpass
osm-node-1070155210,Gunung Leutik,Alam,-6.910556,107.521944,overpass
osm-node-1070155328,Gunung Padang,Alam,-7.052778,107.416389,overpass
osm-node-1070155336,Gunung Cibatuipis,Alam,-7.1765,107.7607,overpass
osm-node-1070155556,Gunung Canggok,Alam,-6.774167,107.766111,overpass
osm-node-1070155593,Pasir Karasak,Alam,-7.2407566,107.4147288,overpass
osm-node-1070155668,Gunung Waringin,Alam,-7.1952,107.4944,overpass
osm-node-1070155939,Gunung Ranggasena,Alam,-7.0212,107.4233,overpass
osm-node-1070156259,Gunung Cilutung,Alam,-7.1392,107.8095,overpass
osm-node-1070156369,Gunung Cayur,Alam,-7.0713,107.4741,overpass
osm-node-1070156703,Gunung Haruman,Alam,-7.1405,107.8675,overpass
osm-node-1070156726,Pasir Badak,Alam,-7.0403,107.4281,overpass
osm-node-1070156853,Pasir Ekek,Alam,-6.865278,107.445556,overpass
osm-node-1070156880,Gunung Benteng,Alam,-6.767778,107.4875,overpass
osm-node-1070156882,Gunung Malahaji,Alam,-7.114722,107.718056,overpass
osm-node-1070156908,Pasir Nanggerang,Alam,-6.815556,107.483611,overpass
osm-node-1070156954,Pasir Serewen,Alam,-6.993889,107.891944,overpass
osm-node-1070157006,Gunung Bulangur,Alam,-6.968889,107.51,overpass
osm-node-1070157032,Gunung Hawu,Alam,-6.835145,107.4564868,overpass
osm-node-1070157086,Pasir Kerak,Alam,-7.0148,107.3959,overpass
osm-node-1070157110,Gunung Putri,Alam,-6.811667,107.755,overpass
osm-node-1070157126,Gunung Buluh,Alam,-6.7992705,107.6697873,overpass
osm-node-1070157182,Pasir Singacandra,Alam,-6.789167,107.403333,overpass
osm-node-1070157309,Pasir Nyangegeng,Alam,-6.968056,107.370556,overpass
osm-node-1070157314,Pasir Ayakan,Alam,-7.1217,107.8721,overpass
osm-node-1070157520,Pasir Seuseupan,Alam,-6.870278,107.409167,overpass
osm-node-1070157838,Pasir Bango,Alam,-6.903056,107.388889,overpass
osm-node-1070158171,Gunung Batumaseuk,Alam,-6.995833,107.461944,overpass
osm-node-1070158549,Pasir Wangun,Alam,-6.979722,107.363056,overpass
osm-node-1070158653,Gunung Puncaklingga,Alam,-7.095278,107.498889,overpass
osm-node-1070158816,Gunung Tilu,Alam,-7.1063,107.3861,overpass
osm-node-1070158835,Gunung Maud,Alam,-7.2225,107.4873,overpass
osm-node-1070158953,Pasir Maung,Alam,-7.1122,107.8312,overpass
osm-node-1070159014,Gunung Sirahcikancung,Alam,-7.0329,107.8381,overpass
osm-node-1070159060,Gunung Gagak,Alam,-7.212778,107.731389,overpass
osm-node-1070159062,Gunung Karang,Alam,-6.818056,107.462778,overpass
osm-node-1070159080,Gunung Kencana,Alam,-6.765,107.868333,overpass
osm-node-1070159229,Pasir Kolecer,Alam,-6.803889,107.431389,overpass
osm-node-1070159289,Gunung Gadung,Alam,-7.0274,107.4869,overpass
osm-node-1070159337,Pasir Bojongloa,Alam,-6.795833,107.494722,overpass
osm-node-1070159341,Gunung Dogdog,Alam,-6.8112933,107.8365638,overpass
osm-node-1070159386,Pasir Goong,Alam,-6.894167,107.393611,overpass
osm-node-1070159390,Pasir Tonjong,Alam,-6.795556,107.439444,overpass
osm-node-1070159443,Gunung Cakra,Alam,-7.1325,107.8173,overpass
osm-node-1070159492,Gunung Gadung,Alam,-7.0319,107.3921,overpass
osm-node-1070159495,Gunung Kerud,Alam,-7.0083,107.4806,overpass
osm-node-1070159559,Pasir Bengkung,Alam,-6.7875,107.500278,overpass
osm-node-1070159573,Gunung Aul,Alam,-7.012222,107.485278,overpass
osm-node-1070159632,Gunung Kufa,Alam,-7.228056,107.743611,overpass
osm-node-1070159841,Gunung Masigit,Alam,-6.8125,107.585,overpass
osm-node-1070159928,Gunung Orem,Alam,-6.785833,107.733333,overpass
osm-node-1070160156,Pasir Cibodas,Alam,-6.789444,107.468333,overpass
osm-node-1070160164,Pasir Pari,Alam,-6.989167,107.354722,overpass
osm-node-1070160313,Pasir Gugunungan,Alam,-6.862222,107.470278,overpass
osm-node-1070160350,Gunung Kancing,Alam,-7.1175,107.822,overpass
osm-node-1070160596,Pasir Bojongawi,Alam,-6.795556,107.484444,overpass
osm-node-1070160606,Gunung Cibeureum,Alam,-7.179722,107.742222,overpass
osm-node-1070160666,Gunung Lagadar,Alam,-6.923333,107.531667,overpass
osm-node-1070160672,Pasir Batukeupeul,Alam,-6.963611,107.493889,overpass
osm-node-31288741,Terazza,Kuliner,-6.8869435,107.5811614,overpass
osm-node-31288745,Inti Laut,Kuliner,-6.8873695,107.5816872,overpass
osm-node-32041537,Grace,Kuliner,-6.8815495,107.5944013,overpass
osm-node-32041585,Tomodachi,Kuliner,-6.8807109,107.5959997,overpass
osm-node-32041593,Suis Butcher Steak House,Kuliner,-6.8715552,107.5940509,overpass
osm-node-32041600,Ikan Bakar Pak Chi Met,Kuliner,-6.8858733,107.5962969,overpass
osm-node-32041651,Ikan Bakar Cianjur,Kuliner,-6.8752093,107.5964539,overpass
osm-node-32041698,Ny. Suharti,Kuliner,-6.8843694,107.6012683,overpass
osm-node-32041903,Bumbu Desa Pasir Kaliki,Kuliner,-6.9027926,107.5978878,overpass
osm-node-32519040,Sapu Lidi,Kuliner,-6.8977742,107.6036158,overpass
osm-node-32519044,Raja Rasa,Kuliner,-6.8799127,107.5838387,overpass
osm-node-32519045,Oishii Steak,Kuliner,-6.9058695,107.5931889,overpass
osm-node-32519051,Dakken,Kuliner,-6.9057417,107.6176217,overpass
osm-node-32519052,Dago Panyawangan,Kuliner,-6.8914029,107.61281,overpass
osm-node-32519055,Simpang Raya,Kuliner,-6.8990133,107.6195912,overpass
osm-node-32519056,Sindang Reret,Kuliner,-6.8990098,107.6197139,overpass
osm-node-32519340,Yoghurt Cisangkuy,Kuliner,-6.9018456,107.6214397,overpass
osm-node-32519342,Road Cafe,Kuliner,-6.9055352,107.6271646,overpass
osm-node-32520411,Dunkin',Kuliner,-6.9019586,107.6115579,overpass
osm-node-479720008,Bumi Sangkuriang,Kuliner,-6.8668218,107.6090526,overpass
osm-node-1013408385,Sate Hadori,Kuliner,-6.9154742,107.6028366,overpass
osm-node-1107662817,Dunkin Donut,Kuliner,-6.8813231,107.5815533,overpass
osm-node-1107877729,Sate Pak Ginno,Kuliner,-6.9167625,107.6183923,overpass
