id,name,category,desc,ticket,duration,lat,lng,rating,tags,stay_detail,gmaps_url,source
kawah-putih,Kawah Putih,Alam,Danau kawah vulkanik dengan air berwarna putih kehijauan di ketinggian 2430 mdpl,81000,150,-7.166,107.4019,4.6,"['sunrise', 'fotogenik', 'dingin', 'kawah']","Parkir & jalan ke kawah 20', keliling kawah & foto 90', istirahat 20', kembali 20'",https://www.google.com/maps/search/?api=1&query=Kawah%20Putih%2C%20Bandung,unknown
kebun-teh-rancabali,Kebun Teh Rancabali,Alam,Hamparan kebun teh hijau di Ciwidey dengan udara sejuk dan pemandangan luas,25000,105,-7.1432,107.4106,4.5,"['hijau', 'fotogenik', 'sejuk', 'kebun']","Jalan ke area kebun 15', jalan-jalan & foto 60', duduk santai 30'",https://www.google.com/maps/search/?api=1&query=Kebun%20Teh%20Rancabali%2C%20Bandung,unknown
stone-garden-padalarang,Stone Garden Padalarang,Alam,"Taman batu purba dengan formasi karst unik di kawasan Citatah, Padalarang",15000,105,-6.8323,107.4709,4.4,"['batu', 'fotogenik', 'karst', 'tebing']","Naik ke area batu 20', eksplorasi formasi & foto 60', istirahat 25'",https://www.google.com/maps/search/?api=1&query=Stone%20Garden%20Padalarang%2C%20Bandung,unknown
tebing-keraton,Tebing Keraton,Alam,"Tebing dengan view hutan pinus Dago Pakar, populer untuk sunrise",15000,120,-6.8359,107.663,4.5,"['sunrise', 'hiking', 'tebing', 'pinus']","Hiking ke tebing 30', menikmati view & foto 45', santai 25', turun 20'",https://www.google.com/maps/search/?api=1&query=Tebing%20Keraton%2C%20Bandung,unknown
tangkuban-perahu,Tangkuban Perahu,Alam,Gunung berapi aktif dengan kawah ratu yang ikonik di utara Bandung,30000,135,-6.7597,107.6098,4.5,"['gunung', 'kawah', 'legendaris', 'vulkanik']","Parkir & jalan ke kawah 20', foto 45', kawah domas 30', kembali 25', oleh-oleh 15'",https://www.google.com/maps/search/?api=1&query=Tangkuban%20Perahu%2C%20Bandung,unknown
situ-patenggang,Situ Patenggang,Alam,"Danau alami dikelilingi kebun teh di kawasan Ciwidey, romantis dan tenang",20000,120,-7.1603,107.3992,4.4,"['danau', 'romantis', 'sejuk', 'perahu']","Keliling danau 30', naik perahu 40', santai & foto 30', jalan-jalan 20'",https://www.google.com/maps/search/?api=1&query=Situ%20Patenggang%2C%20Bandung,unknown
curug-malela,Curug Malela,Alam,Air terjun lebar dijuluki Niagara Mini Indonesia di Bandung Barat,10000,150,-6.9231,107.3342,4.6,"['air-terjun', 'hiking', 'segar', 'alam']","Hiking ke curug 45', foto 60', istirahat 25', kembali 20'",https://www.google.com/maps/search/?api=1&query=Curug%20Malela%2C%20Bandung,unknown
bukit-moko,Bukit Moko,Alam,Puncak tertinggi di Bandung dengan panorama kota 360 derajat,20000,120,-6.8198,107.6898,4.5,"['puncak', 'panorama', 'sunrise', 'instagramable']","Hiking ke puncak 35', foto 50', turun 35'",https://www.google.com/maps/search/?api=1&query=Bukit%20Moko%2C%20Bandung,unknown
floating-market-lembang,Floating Market Lembang,Kuliner,Pasar terapung dengan beragam jajanan tradisional Sunda di atas perahu,30000,105,-6.8121,107.6178,4.3,"['jajanan', 'keluarga', 'fotogenik', 'tradisional']","Keliling pasar 30', antri & beli 20', makan 35', foto 20'",https://www.google.com/maps/search/?api=1&query=Floating%20Market%20Lembang%2C%20Bandung,unknown
jalan-braga-kuliner,Jalan Braga Kuliner,Kuliner,Kawasan heritage dengan deretan kafe dan restoran bergaya kolonial Belanda,0,90,-6.9185,107.608,4.3,"['heritage', 'kafe', 'kolonial', 'santai']","Jalan-jalan 20', pilih tempat 10', makan & santai 60'",https://www.google.com/maps/search/?api=1&query=Jalan%20Braga%20Kuliner%2C%20Bandung,unknown
cikole-jayagiri-kuliner,Cikole Jayagiri Kuliner,Kuliner,Kawasan wisata hutan pinus Lembang dengan warung-warung khas pegunungan,10000,90,-6.8,107.625,4.2,"['pinus', 'sejuk', 'sate', 'jagung-bakar']","Masuk area 10', pilih warung 10', tunggu 15', makan 55'",https://www.google.com/maps/search/?api=1&query=Cikole%20Jayagiri%20Kuliner%2C%20Bandung,unknown
sate-maranggi-hj-yetty,Sate Maranggi Hj. Yetty,Kuliner,Sate maranggi legendaris khas Purwakarta-Cianjur yang terkenal di Bandung,0,75,-6.931,107.639,4.7,"['sate', 'legendaris', 'khas-sunda', 'enak']","Antri & pesan 15', tunggu sate 15', makan 45'",https://www.google.com/maps/search/?api=1&query=Sate%20Maranggi%20Hj.%20Yetty%2C%20Bandung,unknown
warung-nasi-ampera,Warung Nasi Ampera,Kuliner,Nasi Sunda lengkap dengan lauk-pauk otentik di kawasan Bandung kota,0,60,-6.92,107.61,4.3,"['nasi-sunda', 'murah', 'otentik', 'lauk-pauk']","Pilih lauk 10', ambil 5', makan 35', santai 10'",https://www.google.com/maps/search/?api=1&query=Warung%20Nasi%20Ampera%2C%20Bandung,unknown
pasar-baru-kuliner-kaki-lima,Pasar Baru Kuliner Kaki Lima,Kuliner,Kawasan Pasar Baru dengan pilihan makanan kaki lima khas Bandung,0,75,-6.9225,107.6068,4.1,"['kaki-lima', 'murah', 'batagor', 'siomay']","Jalan-jalan cari 20', beli 15', makan 30', keliling 10'",https://www.google.com/maps/search/?api=1&query=Pasar%20Baru%20Kuliner%20Kaki%20Lima%2C%20Bandung,unknown
ikan-bakar-cianjur,Ikan Bakar Cianjur,Kuliner,Restoran seafood dengan ikan bakar khas Sunda yang terkenal sejak 1980-an,0,80,-6.9115,107.6075,4.5,"['ikan-bakar', 'seafood', 'legendaris', 'sunda']","Pilih ikan 10', tunggu bakar 20', makan 50'",https://www.google.com/maps/search/?api=1&query=Ikan%20Bakar%20Cianjur%2C%20Bandung,unknown
